    PID   RSS    VSZ CMD
 123843  1536  85264 adb -s 192.168.1.152:5555 shell CLASSPATH=/data/local/tmp/scrcpy-server.jar app_process / com.genymobile.scrcpy.Server 2.4 scid=67aacc4d log_level=info video_bit_rate=500000 max_size=1024
 123881  1536  85264 adb -s 192.168.1.153:5555 shell CLASSPATH=/data/local/tmp/scrcpy-server.jar app_process / com.genymobile.scrcpy.Server 2.4 scid=23d1b2ba log_level=info video_bit_rate=500000 max_size=1024
 123890  1728  85264 adb -s 192.168.1.154:5555 shell CLASSPATH=/data/local/tmp/scrcpy-server.jar app_process / com.genymobile.scrcpy.Server 2.4 scid=7cf69927 log_level=info video_bit_rate=500000 max_size=1024
 123900  1728  85264 adb -s 192.168.1.155:5555 shell CLASSPATH=/data/local/tmp/scrcpy-server.jar app_process / com.genymobile.scrcpy.Server 2.4 scid=51c06601 log_level=info video_bit_rate=500000 max_size=1024
 124083  2880  14008 bash
 124105 49544 3648248 scrcpy -s 192.168.1.161 --window-title 161 --video-bit-rate=500K -m 1024 --legacy-paste -S
 124137  1536  85264 adb -s 192.168.1.161:5555 shell CLASSPATH=/data/local/tmp/scrcpy-server.jar app_process / com.genymobile.scrcpy.Server 2.4 scid=69765ade log_level=info video_bit_rate=500000 max_size=1024
 124364  3072  14008 bash
 124447 50624 3517132 scrcpy -s 192.168.1.172 --window-title 172 --video-bit-rate=500K -m 1024 --legacy-paste -S
 124478 50312 3909164 scrcpy -s 192.168.1.173 --window-title 173 --video-bit-rate=500K -m 1024 --legacy-paste -S
 124537  1536  85264 adb -s 192.168.1.172:5555 shell CLASSPATH=/data/local/tmp/scrcpy-server.jar app_process / com.genymobile.scrcpy.Server 2.4 scid=1fb54ad5 log_level=info video_bit_rate=500000 max_size=1024
